Geneid	Case1	Case2	Control1	Control2
ENSG00000236875.3	14	4	13	4
ENSG00000181404.18	59	21	37	10
ENSG00000227518.5	0	0	0	0
ENSG00000283921.1	0	0	0	0
ENSG00000218839.5	0	0	0	0
ENSG00000284986.1	0	0	0	0
ENSG00000277631.6	0	19	1	11
ENSG00000227917.3	1	20	10	25
ENSG00000231808.2	11	17	0	0
ENSG00000170122.6	0	64	1	106
ENSG00000172785.19	59	25	12	82
ENSG00000287480.1	0	67	0	0
ENSG00000183784.7	113	0	0	0
ENSG00000107099.18	33	2	4	6
ENSG00000235880.1	0	0	0	0
ENSG00000227155.7	1	26	0	0
ENSG00000107104.21	3	37	3	3
ENSG00000235330.2	0	0	0	0
ENSG00000228115.1	0	0	0	0
ENSG00000202172.1	0	0	0	0
ENSG00000229875.1	0	0	0	0
ENSG00000227914.3	0	0	0	0
ENSG00000137090.12	100	20	17	2
ENSG00000064218.5	3	0	17	75
ENSG00000252991.1	0	0	0	0
ENSG00000228783.1	0	0	1	0
ENSG00000286684.1	0	0	0	4
ENSG00000281769.1	0	112	0	46
ENSG00000173253.16	0	50	1	64
ENSG00000224836.1	0	0	0	0
ENSG00000236594.2	13	0	15	8
ENSG00000233575.2	1	7	0	0
ENSG00000202383.1	0	0	0	0
ENSG00000287465.1	31	9	4	2
ENSG00000224092.1	0	12	38	0
ENSG00000080503.24	15	3	19	61
ENSG00000236199.1	0	0	0	0
ENSG00000222973.1	0	0	0	0
ENSG00000264615.2	0	0	1	0
ENSG00000236404.12	12	2	48	4
ENSG00000231052.1	0	0	0	0
ENSG00000147852.17	203	128	1	217
ENSG00000286670.1	0	0	0	0
ENSG00000168263.9	85	30	0	0
ENSG00000080608.10	1	3	1	1
ENSG00000289552.1	84	0	66	0
ENSG00000236496.2	15	20	50	56
ENSG00000229184.2	0	1	11	0
ENSG00000227835.8	1	10	100	15
ENSG00000236511.2	77	0	0	43
ENSG00000080298.16	14	140	1	41
ENSG00000215297.3	0	0	0	0
ENSG00000288963.1	0	2	0	0
ENSG00000232104.4	0	48	102	1
ENSG00000237359.2	0	0	0	0
ENSG00000226669.2	0	0	0	0
ENSG00000107249.24	22	308	364	27
ENSG00000236724.1	0	0	0	0
ENSG00000237009.2	0	0	0	0
ENSG00000230001.1	0	0	0	0
ENSG00000228322.1	0	0	0	0
ENSG00000200941.1	0	0	0	0
ENSG00000106688.12	1	7	0	0
ENSG00000106686.17	106	75	0	76
ENSG00000225893.1	0	0	0	0
ENSG00000205808.7	0	0	0	0
ENSG00000273061.2	0	0	2	20
ENSG00000106993.12	0	0	0	0
ENSG00000147853.17	15	91	1	2
ENSG00000287759.1	87	23	1	54
ENSG00000270639.1	14	52	0	0
