circRNA_ID	PValue	FDR
1	chr5:171214|173067	1	1
2	chr1:18854213|18857631	1	1
3	chr8:70066235|70068532	1	1
4	chr3:14704337|14721784	1	1
5	chr1:89479937|89481863	1	1
6	chr16:29679182|29694755	1	1
7	chr9:92049960|92077035	1	1
8	chr2:86251957|86254814	1	1
9	chr5:116087497|116092700	1	1
10	chr19:7731026|7732122	0.883082127486	1
11	chr22:26536288|26541718	1	1
12	chr2:112977886|112978693	1	1
13	chr1:229872613|229885818	1	1
14	chr2:53765377|53820244	1	1
15	chr5:177513011|177515258	1	1
16	chr3:147395852|147402812	1	1
17	chrX:71106000|71106426	0.0150631282289	1
18	chr10:95038897|95067357	0.000584752340282	1
19	chr1:96751425|96785254	1	1
20	chr13:114236645|114236896	1	1
21	chr17:18234839|18237773	0.468616919404	1
22	chr11:74876631|74910804	1	1
23	chr19:7730351|7731319	0.00239906103743	1
24	chr16:20780714|20785107	1	1
25	chr3:68998011|69005234	1	1
26	chr5:42817067|42910843	1	1
27	chr4:37077132|37078632	1	1
28	chr1:161420223|161428019	1	1
29	chr1:156592101|156592475	1	1
30	chr12:3644595|3673592	1	1
31	chr2:158338726|158340680	1	1
32	chr11:120831852|120874218	1	1
33	chr12:4596149|4599788	1	1
34	chr16:71756019|71764448	1	1
35	chr12:14949802|14950724	1	1
36	chr22:19760905|19765113	1	1
37	chr3:42527396|42531531	1	1
38	chr20:50818211|50830380	1	1
39	chr19:49679872|49682259	1	1
40	chr22:41583959|41584603	1	1
41	chr1:170157969|170160693	0.00151212641111	1
42	chr19:48663197|48667463	1	1
43	chr1:32156853|32159531	0.00102655835452	1
44	chr11:821628|823587	1	1
45	chr7:50616210|50669863	1	1
46	chr19:14518139|14527810	1	1
47	chr5:140591670|140592101	0.000331950350208	1
48	chr11:70170887|70180056	1	1
49	chr16:81356785|81363943	1	1
50	chr7:117745831|117767176	1	1
51	chr1:24589464|24595517	1	1
52	chr14:90902808|90920309	1	1
53	chr9:18635943|18662073	1	1
54	chr3:190128929|190143501	1	1
55	chr5:14678681|14681607	1	1
56	chr16:29312350|29321095	0.923561251895	1
57	chr9:127945649|127950539	1	1
58	chr7:4916005|4925532	1	1
59	chr18:31082238|31086742	1	1
60	chr11:57500988|57514124	1	1
61	chr2:238104656|238125384	1	1
62	chr17:66877230|66879058	0.000683628517351	1
63	chr16:31120339|31128139	1	1
64	chr4:6375819|6381094	1	1
65	chr10:59206754|59234500	1	1
66	chr3:159245843|159252799	0.000403545903294	1
67	chr1:51112464|51118801	1	1
68	chrX:68518770|68521497	1	1
69	chr17:39061097|39063546	1	1
70	chr4:184428674|184429070	1	1
71	chr4:69754670|69760250	1	1
72	chr19:18220874|18221178	0.00362703733288	1
73	chr12:94282298|94297423	1	1
74	chr1:93529652|93534908	1	1
75	chr22:21049314|21053997	1	1
76	chr8:118930488|118933300	1	1
77	chr6:3634019|3663905	1	1
78	chr10:101672915|101673673	1	1
79	chr19:8316496|8320906	1	1
80	chr4:25145004|25156195	1	1
81	chrX:23783800|23785429	1	1
82	chr1:150274087|150275799	1	1
83	chr6:15452006|15507254	0.000193662029857	1
84	chr7:72928385|72939409	0.000700331590888	1
85	chr4:106236390|106236808	1	1
86	chr1:200990138|200996395	1	1
87	chr9:92321668|92323503	1	1
88	chr14:49728926|49732816	1	1
89	chr8:28452244|28456930	1	1
90	chrX:48987785|48990732	1	1
91	chr18:63901740|63902568	1	1
92	chr9:37719069|37731103	1	1
93	chr1:84565841|84570139	1	1
94	chr6:24780663|24784169	1	1
95	chr11:33670915|33696701	0.938750749359	1
96	chr9:129830871|129834766	1	1
97	chr9:27560227|27565590	1	1
98	chr16:67930408|67930807	0.000281604522907	1
99	chr4:158155611|158171599	1	1
100	chr2:175995558|176002279	1	1
101	chr17:75668049|75668625	1	1
102	chr1:237882466|237906110	1	1
103	chr2:10127087|10128952	1	1
104	chr1:111122616|111131568	1	1
105	chr7:141839338|141841068	0.0149250245432	1
106	chr7:7641504|7673453	0.000863152881045	1
107	chr1:183884723|183897897	0.669886087162	1
108	chr6:26383792|26388294	1	1
109	chr22:30494150|30495642	1	1
110	chr1:149926376|149927294	2.975397706e-14	3.6457548091618e-10
111	chr9:129085023|129085306	1	1
112	chr7:128806237|128809644	1	1
113	chr7:35248677|35250203	1	1
114	chr3:112928816|112947924	1	1
115	chr16:89222092|89224802	1	1
116	chr16:67948061|67951060	1	1
117	chr20:49072568|49084162	1	1
118	chr6:151138749|151151138	1	1
119	chr11:57704719|57705229	1	1
120	chrX:108150068|108151858	1	1
121	chr2:29024139|29033563	1	1
122	chr7:77404559|77406105	1	1
123	chr15:52577842|52584942	1	1
124	chr19:47093970|47094608	1	1
125	chr17:28715641|28716994	1	1
126	chr1:204117122|204117707	1	1
127	chr12:54284258|54284601	1	1
128	chr6:79493613|79519085	0.000786296958949	1
129	chr19:41683785|41687221	1	1
130	chr9:76189631|76292275	1	1
131	chr19:19529364|19532740	1	1
132	chr9:93261814|93268065	1	1
133	chr2:74226957|74227878	1	1
134	chr12:32707367|32713371	1	1
135	chr17:79092380|79097424	1	1
136	chr2:111123733|111124139	1	1
137	chr7:20647968|20685836	1	1
138	chr1:110222964|110226178	1	1
139	chr7:115031787|115118825	1	1
140	chr4:1991544|2008046	1	1
141	chr3:47572686|47577928	1	1
142	chr6:149968607|149969360	1	1
143	chr3:102456193|102464251	1	1
144	chr5:140642315|140643041	1	1
145	chr1:3756733|3763474	1	1
146	chr10:75350352|75358346	1	1
147	chr6:49698362|49709205	1	1
148	chr5:180947512|181004443	1	1
149	chr18:31626999|31645479	1	1
150	chr11:34888752|34890552	1	1
151	chr2:30889034|30889698	0.0718673409565	1
152	chr22:29642202|29665064	0.00194583404841	1
153	chr11:119098403|119100408	1	1
154	chr4:84969725|85004327	1	1
155	chr17:8111359|8114609	1	1
156	chr12:57231713|57233662	1	1
157	chr5:113534305|113542503	1	1
158	chr3:132328267|132332344	1	1
159	chrX:71147550|71164328	1	1
160	chr14:72975551|72978969	1	1
161	chr9:136952892|136953779	1	1
162	chr7:148810333|148811720	1	1
163	chr19:13145288|13149091	1	1
164	chr19:45025329|45032749	1	1
165	chr1:29223933|29224611	1	1
166	chr8:60572046|60584815	1	1
167	chr12:97493875|97530859	1	1
168	chr3:170381244|170390464	1	1
169	chr1:45613169|45614181	1	1
170	chr9:128927038|128937778	1	1
171	chr5:90823425|90985522	1	1
172	chr1:45038936|45051253	1	1
173	chr18:50806704|50819702	1	1
174	chr21:14902899|14913522	1	1
175	chr1:46934176|46935647	1	1
176	chr9:132498695|132499600	1	1
177	chr3:42713162|42732922	1	1
178	chr15:43368923|43369676	1	1
179	chr4:106328076|106331883	1	1
180	chr8:66793616|66798625	0.00362398311632	1
181	chr2:57294636|57298489	1	1
182	chr4:75830501|75837432	1	1
183	chr20:21197540|21214022	1	1
184	chrX:154508289|154511871	1	1
185	chr3:57235566|57237551	1	1
186	chr11:121614871|121618893	1	1
187	chr6:53621209|53624714	1	1
188	chr5:91244820|91313777	1	1
189	chr13:97954103|97969830	1	1
190	chr17:7220604|7221682	1	1
191	chr5:109770355|109789527	1	1
192	chr21:41476577|41488513	1	1
193	chr16:10757873|10761474	0.00163692017614	1
194	chr20:32074623|32084043	1	1
195	chr9:5805611|5812217	1	1
196	chr10:5000550|5001681	1	1
197	chr19:49580646|49583304	1	1
198	chr6:111567624|111580389	1	1
199	chr9:119248960|119313405	1	1
200	chr17:46929520|46935225	3.86346605569e-05	0.4680975473074
201	chr1:248698847|248745279	1	1
202	chr20:5434172|5437273	1	1
203	chr15:48867818|48872142	1	1
204	chr19:11359532|11362689	1	1
205	chr1:7801113|7810021	1	1
206	chr10:84143995|84148838	1	1
207	chr12:53159887|53171988	1	1
208	chr6:159684854|159692863	1	1
209	chr17:2477686|2502331	1	1
210	chr1:205662833|205664886	1	1
211	chr12:81375733|81440046	1	1
212	chr5:151676132|151679299	1	1
213	chr10:119157871|119160969	1	1
214	chr17:35749110|35750318	1	1
215	chr4:186076613|186079031	1	1
216	chr6:43650375|43655691	1	1
217	chr13:79415111|79420815	1	1
218	chr6:166326132|166328357	0.00623390259019	1
219	chrX:7921713|7926132	1	1
220	chr3:107853873|107873026	1	1
221	chr9:83628007|83628959	1	1
222	chr9:23540579|23602784	1	1
223	chr19:9658009|9660874	0.000274655256704	1
224	chrX:153720872|153723288	1	1
225	chr17:75737322|75740851	0.454827857041	1
226	chr17:63355055|63379826	1	1
227	chr7:156826605|156833792	1	1
228	chr12:56096748|56100245	1	1
229	chr2:98377687|98380354	0.799047908649	1
230	chr11:130411417|130417075	1	1
231	chr12:10073293|10081413	1	1
232	chr10:61428926|61431332	1	1
233	chr7:158664184|158664750	1	1
234	chr16:5027278|5029008	1	1
235	chr12:57730495|57732512	1	1
236	chr19:12528570|12550652	1	1
237	chr8:123022684|123023739	1	1
238	chr19:55320558|55321044	1	1
239	chr16:67538424|67539751	1	1
240	chr1:46653817|46663923	1	1
241	chr2:201822809|201835763	1	1
242	chr20:45555701|45562219	1	1
