"circRNA_ID"	"Case1"	"Control1"	"DE_Score"
"chr9:33886881|33900271"	5	6	0
"chr9:83311887|83343287"	4	0	0
"chr9:33318731|33338589"	0	6	-0.167848386964635
"chr9:112959793|112960962"	6	0	0.179969139263087
"chr9:120911336|120914300"	8	0	0.62629528517527
"chr9:112959793|112961814"	0	6	-0.162377391261389
"chr9:26092361|26110139"	9	0	0.809214553848131
"chr9:112804776|112838697"	0	7	-0.406965722536989
"chr9:132826854|132854925"	0	7	-0.398975748495697
"chr9:36227248|36236984"	4	0	0
"chr9:135605215|135615498"	0	5	0
"chr9:132661208|132670401"	0	5	0
"chr9:69046385|69065035"	0	6	-0.149606166463879
"chr9:136367637|136370701"	0	10	-0.955008473144812
"chr9:88426382|88448989"	0	8	-0.614953310440468
"chr9:34623864|34628086"	0	2	0
"chr9:94199198|94223308"	0	3	0
"chr9:81616646|81620557"	4	0	0
"chr9:2161686|2181676"	5	0	0
"chr9:123365917|123367686"	6	0	0.172978588987975
"chr9:83887041|83888592"	0	5	0
"chr9:94606815|94617860"	0	11	-1.104108953849
"chr9:32420856|32427436"	0	5	0
"chr9:36058827|36065624"	4	0	0
"chr9:98060782|98077017"	3	0	0
"chr9:136979223|136980855"	0	7	-0.412425464840276
"chr9:69375736|69383759"	0	5	0
"chr9:113282646|113286828"	0	6	-0.156298234544068
"chr9:135945889|135953753"	0	10	-0.949036308444626
"chr9:23831438|23831598"	2	0	0
"chr9:136889670|136890542"	5	0	0
"chr9:113283132|113284389"	5	0	0
"chr9:137351318|137352786"	3	0	0
"chr9:124538092|124554570"	0	9	-0.792203512311493
"chr9:113354240|113360737"	0	7	-0.389857326115099
"chr9:137540642|137543815"	0	6	-0.154282794229373
"chr9:35810247|35811057"	4	0	0
"chr9:128789874|128791693"	0	6	-0.159631709770334
"chr9:37719069|37731103"	0	6	-0.161889912980314
"chr9:97323781|97347666"	0	5	0
"chr9:94085251|94095454"	2	0	0
"chr9:32481340|32488887"	3	0	0
"chr9:79138523|79143231"	0	7	-0.398845096401844
"chr9:135500570|135501123"	0	8	-0.620009153536995
"chr9:126381064|126386658"	0	2	0
"chr9:15433552|15451402"	9	0	0.808494814012969
"chr9:75016268|75017448"	4	0	0
