circRNA_ID	PValue	FDR
1	chr15:90956612|90957725;ENSG00000166965.13	1	1
2	chr4:9707639|9709651;ENSG00000251087.3	1	1
3	chr4:9705974|9709651;ENSG00000251087.3	1	1
4	chr10:114942645|114959807;ENSG00000165832.6	1	1
5	chr11:44109194|44114301;ENSG00000151348.16	1	1
6	chr16:57475850|57478662;ENSG00000125170.11	1	1
7	chr16:57475850|57479688;ENSG00000125170.11	1	1
8	chr1:45038936|45051253;ENSG00000162415.7	1	1
9	chr12:118867596|118891481;ENSG00000256149.1	1	1
10	chr1:156620018|156624160;ENSG00000132702.13	1	1
11	chr12:47983385|47985826;ENSG00000139219.19	1	1
12	chr1:109626726|109628277;ENSG00000116337.20	1	1
13	chr2:214752447|214781509;ENSG00000138376.11	1	1
14	chr2:64572946|64579546;ENSG00000119844.17	1	1
15	chrX:130228977|130243699;ENSG00000056277.16	1	1
16	chr1:204117122|204117707;ENSG00000143842.15	1	1
17	chr3:58123093|58141929;ENSG00000136068.16	1	1
18	chr16:676336|677699;ENSG00000103269.14	1	1
19	chr16:676336|676896;ENSG00000103269.14	1	1
20	chr7:65179292|65186510;ENSG00000164669.13	1	1
21	chr2:27382476|27384092;ENSG00000115241.11	1	1
22	chr2:27383366|27384767;ENSG00000115241.11	1	1
23	chr3:122463942|122467429;ENSG00000114030.13	1	1
24	chr3:122451534|122457848;ENSG00000114030.13	1	1
25	chr11:121127752|121158224;ENSG00000109927.11	1	1
26	chr1:83413399|83424236;ENSG00000285782.2	1	1
27	chr8:143991878|143992373;ENSG00000178719.17	1	1
28	chr8:120575086|120575225;ENSG00000172164.15	1	1
29	chr8:120632444|120693908;ENSG00000172164.15	1	1
30	chr10:116683791|116701129;ENSG00000165868.16	1	1
31	chr17:18988247|19004169;ENSG00000188522.15	1	1
32	chr13:89407264|89475791;ENSG00000271395.2	1	1
33	chr13:89407264|89414600;ENSG00000271395.2	1	1
34	chr6:134001997|134029721;ENSG00000146411.6	1	1
35	chr6:134006812|134029721;ENSG00000146411.6	1	1
36	chr10:18506471|18518968;ENSG00000165995.23	1	1
37	chr11:113983120|113986175;ENSG00000166736.12	1	1
38	chr11:113979233|113986175;ENSG00000166736.12	1	1
39	chr13:79908812|79912502;ENSG00000229175.2	1	1
40	chrY:20579608|20582693;ENSG00000198692.10	1	1
41	chr8:112237190|112247131;ENSG00000164796.18	1	1
42	chrX:118989408|119009247;ENSG00000175556.17	1	1
43	chrX:118986925|119006235;ENSG00000175556.17	1	1
44	chr16:686068|687879;ENSG00000127580.17	1	1
45	chr16:685869|686929;ENSG00000127580.17	1	1
46	chr17:72083906|72114400;ENSG00000234899.11	1	1
47	chr17:72083906|72085045;ENSG00000234899.11	1	1
48	chr5:150903141|150903977;ENSG00000145908.13	1	1
49	chr5:150903329|150903977;ENSG00000145908.13	1	1
50	chr2:55318843|55322692;ENSG00000115355.18	1	1
51	chr2:55355579|55372510;ENSG00000115355.18	1	1
52	chr16:67282503|67285215;ENSG00000196155.13	1	1
53	chr1:3469433|3474782;ENSG00000130762.15	1	1
54	chr7:106610397|106760681;ENSG00000243797.6	1	1
55	chr6:127280231|127282395;ENSG00000118518.17	1	1
56	chr19:58243965|58246390;ENSG00000283515.1	1	1
57	chr19:58230394|58244056;ENSG00000283515.1	1	1
58	chr2:6940948|7020768;ENSG00000151692.15	1	1
59	chr11:65171943|65172331;ENSG00000204710.3	1	1
60	chr17:59163599|59169880;ENSG00000068489.13	1	1
61	chr17:59160759|59169880;ENSG00000068489.13	1	1
62	chr7:4916005|4925532;ENSG00000136297.15	1	1
63	chrX:130071336|130074141;ENSG00000102034.18	1	1
64	chrX:130071040|130074752;ENSG00000102034.18	1	1
65	chrX:130071336|130074752;ENSG00000102034.18	1	1
66	chr5:633769|639224;ENSG00000112877.8	1	1
67	chr15:57319324|57323127;ENSG00000260172.2	1	1
68	chr10:32291163|32293737;ENSG00000120616.16	1	1
69	chr10:32291163|32293194;ENSG00000120616.16	1	1
70	chr18:29519087|29528343;ENSG00000264587.5	1	1
71	chr3:130681491|130684381;ENSG00000196455.8	1	1
72	chr3:130684250|130686422;ENSG00000196455.8	1	1
73	chr3:130705561|130723587;ENSG00000196455.8	1	1
74	chr18:49826436|49836885;ENSG00000266997.2	1	1
75	chr18:49826436|49835424;ENSG00000266997.2	1	1
76	chr19:35744323|35745187;ENSG00000161265.15	1	1
77	chr19:35744323|35745212;ENSG00000161265.15	1	1
78	chr13:113826996|113828711;ENSG00000183087.15	1	1
79	chr13:113863575|113864015;ENSG00000183087.15	1	1
80	chrX:76173585|76174949;ENSG00000102390.11	1	1
81	chr1:26193787|26198419;ENSG00000188782.9	1	1
82	chr3:193299131|193307369;ENSG00000187527.12	1	1
83	chr5:72848385|72851319;ENSG00000083312.19	1	1
84	chr5:72877228|72889957;ENSG00000083312.19	1	1
85	chrX:85981737|86027557;ENSG00000188419.14	1	1
86	chr12:57012378|57013671;ENSG00000166863.13	1	1
87	chr12:57012822|57013671;ENSG00000166863.13	1	1
88	chr8:24489159|24493229;ENSG00000069206.15	1	1
89	chr11:59136057|59140167;ENSG00000245571.7	1	1
90	chr11:60497313|60502039;ENSG00000071203.9	1	1
91	chr11:73844807|73860009;ENSG00000175581.14	1	1
92	chr14:89971175|89985210;ENSG00000042088.14	1	1
93	chr14:58396298|58402761;ENSG00000196860.8	1	1
94	chr15:72349079|72353178;ENSG00000213614.11	1	1
95	chr15:72350518|72353737;ENSG00000213614.11	1	1
96	chr15:90877135|90878976;ENSG00000140564.13	1	1
97	chr19:35631140|35633252;ENSG00000126254.12	1	1
98	chr15:43335696|43343075;ENSG00000168803.16	1	1
99	chr15:43334945|43340352;ENSG00000168803.16	1	1
100	chr1:169866896|169876091;ENSG00000000457.14	1	1
101	chr1:169864369|169870357;ENSG00000000457.14	1	1
102	chr1:169866896|169873752;ENSG00000000457.14	1	1
103	chr3:18584917|18585442;ENSG00000228956.9	1	1
104	chr5:157491615|157494795;ENSG00000135074.16	1	1
105	chr12:81344664|81347770;ENSG00000139220.17	1	1
106	chr12:81375733|81440046;ENSG00000139220.17	1	1
107	chr18:9359972|9388140;ENSG00000128791.12	1	1
108	chr2:194368841|194377337;ENSG00000225539.8	1	1
109	chr2:194368841|194374262;ENSG00000225539.8	1	1
110	chr20:43618940|43636013;ENSG00000101052.13	1	1
111	chr10:35100844|35120505;ENSG00000230534.6	1	1
112	chr2:85419641|85422490;ENSG00000286011.2	1	1
113	chr2:131055553|131071938;ENSG00000152102.18	1	1
114	chr2:131055553|131093460;ENSG00000152102.18	1	1
115	chr16:1350807|1351598;ENSG00000007520.4	1	1
116	chr16:1350807|1351000;ENSG00000007520.4	1	1
117	chr16:69318650|69320289;ENSG00000132612.16	1	1
118	chr10:49744650|49747208;ENSG00000197444.10	1	1
119	chr2:108247188|108255698;ENSG00000196228.5	1	1
120	chr2:36555683|36558513;ENSG00000171055.15	1	1
121	chr5:134167170|134174022;ENSG00000272772.1	1	1
122	chr11:58715316|58724511;ENSG00000149124.11	1	1
123	chr1:54807889|54813975;ENSG00000162398.12	1	1
124	chr1:54807526|54812189;ENSG00000162398.12	1	1
125	chr16:30759654|30760668;ENSG00000196118.12	1	1
126	chr19:17489008|17497464;ENSG00000130304.17	1	1
127	chr6:17873377|17987144;ENSG00000137177.20	1	1
128	chr12:48699778|48705896;ENSG00000129315.11	1	1
129	chr2:185747313|185753848;ENSG00000188738.16	1	1
130	chr15:74838643|74839713;ENSG00000140474.14	1	1
131	chr15:74842280|74842674;ENSG00000140474.14	1	1
132	chr7:37315920|37393917;ENSG00000155849.16	1	1
133	chr5:93824148|93964523;ENSG00000113391.19	1	1
134	chr15:77568970|77572445;ENSG00000259420.5	1	1
135	chr6:49614687|49618218;ENSG00000112077.18	1	1
136	chr19:15573738|15577239;ENSG00000269516.6	1	1
137	chr21:29351634|29352663;ENSG00000248476.1	1	1
138	chr14:61734138|61767035;ENSG00000258964.1	1	1
139	chr7:100352564|100353123;ENSG00000235333.3	1	1
140	chr7:43969732|43987888;ENSG00000214783.9	1	1
141	chr3:114139500|114172027;ENSG00000151577.13	1	1
142	chr3:114159755|114178776;ENSG00000151577.13	1	1
143	chr11:32589012|32595013;ENSG00000149100.13	1	1
144	chr4:135885417|135888090;ENSG00000248330.5	1	1
145	chr1:43976090|43976379;ENSG00000117410.14	1	1
146	chr7:150324358|150326010;ENSG00000127399.15	1	1
147	chr15:42163350|42163728;ENSG00000166887.16	1	1
148	chr7:127613450|127615095;ENSG00000106331.18	1	1
149	chr15:69464833|69467620;ENSG00000245750.10	1	1
150	chr15:69671740|69677640;ENSG00000245750.10	1	1
151	chr2:127195335|127203571;ENSG00000186684.14	1	1
152	chr2:127199376|127201331;ENSG00000186684.14	1	1
153	chr6:147262290|147314636;ENSG00000164506.15	1	1
154	chr6:147235250|147262353;ENSG00000164506.15	1	1
155	chr3:88058019|88141078;ENSG00000163320.12	1	1
156	chr9:134782667|134796901;ENSG00000130635.16	1	1
157	chr10:68496434|68503695;ENSG00000122912.15	1	1
158	chr20:35474794|35475646;ENSG00000126001.16	1	1
159	chr20:35466966|35472151;ENSG00000126001.16	1	1
160	chr20:35459983|35465825;ENSG00000126001.16	1	1
161	chr19:50025893|50031091;ENSG00000142528.16	1	1
162	chr5:140342635|140346084;ENSG00000113070.8	1	1
163	chr3:140959463|140968730;ENSG00000114120.14	1	1
164	chr2:1653628|1662184;ENSG00000130508.11	1	1
165	chr19:56817746|56818702;ENSG00000198300.14	1	1
166	chr19:56822753|56826463;ENSG00000198300.14	1	1
167	chr8:81753064|81755484;ENSG00000164695.5	1	1
168	chr16:69776189|69783152;ENSG00000198373.13	1	1
169	chr1:24161542|24169601;ENSG00000185436.12	1	1
170	chr1:24159474|24169601;ENSG00000185436.12	1	1
171	chr10:73228060|73233163;ENSG00000138286.15	1	1
172	chr10:95263864|95271784;ENSG00000107438.9	1	1
173	chr15:67459692|67519102;ENSG00000259673.6	1	1
174	chr22:40420847|40429767;ENSG00000196588.21	1	1
175	chr1:3500966|3506236;ENSG00000162591.16	1	1
176	chr1:3501177|3505556;ENSG00000162591.16	1	1
177	chr6:131590322|131591527;ENSG00000112282.18	1	1
178	chr21:14165223|14186069;ENSG00000188992.12	1	1
179	chr20:62909699|62914406;ENSG00000101191.17	1	1
180	chr20:62895049|62907359;ENSG00000101191.17	1	1
181	chr20:62909699|62911614;ENSG00000101191.17	1	1
182	chr7:140459707|140472011;ENSG00000133606.11	1	1
183	chr11:71999617|72000557;ENSG00000137496.18	1	1
184	chr7:130914962|130915102;ENSG00000233559.2	1	1
185	chr20:50564969|50579329;ENSG00000196396.10	1	1
186	chr12:14917178|14921048;ENSG00000139055.7	1	1
187	chr9:19573351|19619692;ENSG00000155886.12	1	1
188	chr9:19573351|19622299;ENSG00000155886.12	1	1
189	chr3:122610494|122621611;ENSG00000173200.13	1	1
190	chr3:122619781|122621611;ENSG00000173200.13	1	1
191	chr18:743260|748018;ENSG00000176105.14	1	1
192	chr4:17619901|17621699;ENSG00000118579.13	1	1
193	chr12:19473248|19500221;ENSG00000139154.16	1	1
194	chr7:100089615|100090949;ENSG00000168090.10	1	1
195	chr19:48105333|48106561;ENSG00000105499.14	1	1
196	chr15:49625113|49631058;ENSG00000104047.15	1	1
197	chr4:152954217|152962884;ENSG00000137460.10	1	1
198	chr1:27956009|27958940;ENSG00000227050.1	1	1
199	chr11:69078482|69078793;ENSG00000287725.2	1	1
200	chr16:71410346|71414995;ENSG00000261348.2	1	1
201	chr19:756890|760039;ENSG00000099812.9	1	1
202	chr19:43656479|43667691;ENSG00000011422.12	1	1
203	chr2:38689813|38729697;ENSG00000143891.17	1	1
204	chr5:1235481|1240659;ENSG00000164363.10	1	1
205	chr16:89198122|89198550;ENSG00000259803.8	1	1
206	chr5:132700647|132702668;ENSG00000131437.16	1	1
207	chr14:21499492|21501129;ENSG00000165819.12	1	1
208	chr12:82398795|82434724;ENSG00000127720.8	1	1
209	chr12:107744543|107754109;ENSG00000110851.12	1	1
210	chr10:7705108|7707233;ENSG00000151655.19	1	1
211	chr19:47746967|47751107;ENSG00000105373.19	1	1
212	chr5:62357691|62362541;ENSG00000068796.19	1	1
213	chr1:28004336|28017239;ENSG00000158161.16	1	1
214	chr1:28004336|28027926;ENSG00000158161.16	1	1
215	chr1:962355|963504;ENSG00000187961.15	1	1
216	chr2:95813810|95814145;ENSG00000232931.6	1	1
217	chr9:23540579|23602784;ENSG00000283982.1	1	1
218	chr9:23540579|23554617;ENSG00000283982.1	1	1
219	chr16:3137166|3138541;ENSG00000085644.14	1	1
220	chr4:42892713|42963134;ENSG00000215203.3	1	1
221	chr2:54616207|54621512;ENSG00000115306.16	1	1
222	chr7:93257394|93258276;ENSG00000004766.17	1	1
223	chr6:87677818|87681763;ENSG00000135334.9	1	1
224	chr1:15120577|15124373;ENSG00000175147.13	1	1
225	chr1:36422768|36431882;ENSG00000116885.18	1	1
226	chr21:34732909|34734041;ENSG00000230978.2	1	1
227	chr5:10618333|10625181;ENSG00000164236.12	1	1
228	chr9:136418017|136418673;ENSG00000165688.12	1	1
229	chr2:228475224|228488793;ENSG00000232023.3	1	1
230	chr14:102871917|102886269;ENSG00000131323.16	1	1
231	chr21:20781349|20781661;ENSG00000224924.8	1	1
232	chr19:37520184|37522647;ENSG00000188227.14	1	1
233	chr6:46625418|46636482;ENSG00000146233.8	1	1
234	chr3:54038431|54053338;ENSG00000288029.1	1	1
235	chr3:167695596|167697126;ENSG00000114209.15	1	1
236	chr2:218279289|218280126;ENSG00000135926.15	1	1
237	chr2:218277935|218279353;ENSG00000135926.15	1	1
238	chr2:73263678|73265640;ENSG00000163013.12	1	1
239	chr15:42872611|42878684;ENSG00000128881.18	1	1
240	chr15:42794644|42828032;ENSG00000128881.18	1	1
241	chr3:141559894|141574067;ENSG00000155903.14	1	1
242	chr11:118531775|118534129;ENSG00000149582.16	1	1
243	chr3:30844387|30854789;ENSG00000144644.15	1	1
244	chr11:66333527|66335251;ENSG00000174791.11	1	1
245	chr8:56390123|56390708;ENSG00000253542.7	1	1
246	chr1:40819347|40822402;ENSG00000117013.17	1	1
247	chr19:37426252|37444964;ENSG00000196437.12	1	1
248	chr19:37444907|37465473;ENSG00000196437.12	1	1
249	chr8:27649702|27651627;ENSG00000168077.14	1	1
250	chr3:167790372|167794824;ENSG00000163536.13	1	1
251	chr1:17074856|17079415;ENSG00000117115.13	1	1
252	chr2:60780707|60782005;ENSG00000115421.13	1	1
