circRNA_ID	Case1	Case2	Control1	Control2
chr9:92049960|92077035	0	0	0	9
chr9:18635943|18662073	0	0	3	0
chr9:127945649|127950539	0	0	0	5
chr9:92321668|92323503	0	0	5	0
chr9:37719069|37731103	0	0	6	0
chr9:129830871|129834766	0	0	4	3
chr9:27560227|27565590	0	2	0	0
chr9:129085023|129085306	0	0	4	0
chr9:76189631|76292275	3	0	0	0
chr9:93261814|93268065	0	0	2	0
chr9:136952892|136953779	0	0	0	5
chr9:128927038|128937778	0	0	0	4
chr9:132498695|132499600	0	0	5	9
chr9:5805611|5812217	0	0	12	0
chr9:119248960|119313405	0	0	11	0
chr9:83628007|83628959	0	2	2	3
chr9:23540579|23602784	0	6	0	0
chr9:98060782|98077017	3	0	0	0
chr9:116841429|116842517	3	0	0	5
chr9:127709422|127712349	0	0	4	0
chr9:75016268|75017448	4	0	0	0
chr9:5742869|5756372	0	6	0	0
chr9:37762577|37770019	0	0	9	0
chr9:37521569|37529260	6	0	6	0
chr9:120970170|120974931	0	8	0	0
chr9:109406462|109427122	0	0	0	8
chr9:34402705|34405964	3	2	0	0
chr9:121313934|121318880	0	0	5	0
chr9:34179038|34242108	3	0	0	0
chr9:136755412|136757168	0	5	0	6
chr9:135945889|135946371	5	0	0	0
chr9:94278758|94292467	0	0	0	4
chr9:13004933|13029577	10	0	0	0
chr9:85958472|85959867	0	0	0	7
chr9:33468508|33469341	0	0	0	6
chr9:127914656|127916494	0	0	0	3
chr9:128933782|128934058	0	0	4	0
chr9:136994930|136995567	0	0	7	0
chr9:120991191|121008498	0	0	10	6
chr9:133155901|133161532	0	5	0	0
chr9:124457472|124468190	0	4	0	0
chr9:120622616|120659575	0	2	0	3
chr9:34623425|34628086	8	0	0	3
chr9:91737391|91883383	0	5	0	0
chr9:92389854|92401185	0	10	0	0
chr9:112959793|112960962	6	0	0	0
chr9:115040941|115057425	0	0	0	6
chr9:137022941|137024236	0	0	0	3
chr9:114094181|114095332	8	0	0	0
chr9:137437159|137438084	0	0	0	5
chr9:129099866|129102565	0	2	0	0
chr9:23540579|23554617	0	0	0	2
chr9:126965844|126977745	0	0	4	0
chr9:109149636|109150860	0	7	0	0
chr9:81611769|81613521	0	0	0	5
chr9:78246669|78253277	5	0	0	0
chr9:33943420|33960878	6	0	0	0
chr9:22674443|22682713	8	0	0	0
chr9:35396841|35397712	0	0	0	4
chr9:104766325|104769021	1	3	0	0
chr9:126615383|126693601	0	0	3	0
chr9:13150511|13176417	0	0	3	0
chr9:4622408|4627856	0	0	0	9
chr9:68387463|68465208	0	0	14	0
chr9:14662215|14680162	8	0	0	2
chr9:2161686|2181676	5	0	0	0
chr9:19573351|19622299	5	0	0	0
chr9:77456295|77517544	2	5	0	0
chr9:137033193|137035282	0	0	0	6
chr9:27185485|27203119	0	0	6	0
chr9:77321169|77321746	0	0	0	4
chr9:129615484|129620743	0	0	7	0
chr9:133518874|133520288	0	0	5	0
chr9:33026813|33034330	0	7	0	0
chr9:84292668|84298019	0	0	0	2
chr9:74634631|74662606	7	0	0	10
chr9:136995186|136995757	0	9	0	0
chr9:98495966|98496514	0	2	0	0
chr9:137351318|137352786	3	0	0	0
chr9:105464240|105468324	0	7	0	5
chr9:33943420|33944639	0	0	6	0
chr9:131325452|131347756	0	6	0	0
chr9:26920227|26926560	1	0	6	0
chr9:135500998|135501973	0	0	0	8
chr9:105479354|105508715	0	0	3	0
chr9:96844890|96852005	0	0	7	0
chr9:124855634|124856600	0	0	7	0
chr9:111642839|111647259	0	6	0	0
chr9:132677977|132683693	0	3	0	0
chr9:120776093|120778545	0	3	0	0
chr9:88640511|88647660	0	0	5	0
chr9:121974009|122031856	0	0	0	12
chr9:127925867|127927208	0	0	0	2
chr9:101613376|101671107	0	0	6	0
chr9:97648008|97655764	0	0	0	3
chr9:133643413|133651777	0	0	10	0
chr9:33034216|33036257	4	0	0	0
chr9:19063008|19063580	3	0	0	0
chr9:32485175|32491420	0	3	0	0
chr9:136447569|136451408	0	0	3	0
chr9:3012924|3014177	0	0	0	4
chr9:98130955|98134955	3	0	0	7
chr9:33318731|33338589	0	0	6	0
chr9:85621202|85657643	0	0	7	0
chr9:130219725|130222738	0	0	3	0
chr9:75117504|75133401	0	0	0	3
chr9:134025486|134026090	0	6	0	0
chr9:36227248|36236984	4	0	0	0
chr9:122214283|122227030	3	0	0	0
chr9:72197462|72213991	0	0	3	0
chr9:127751172|127761650	0	5	0	0
chr9:136806385|136807202	0	3	2	5
chr9:135588593|135589484	6	5	0	0
chr9:90864589|90874849	0	0	4	0
chr9:116373199|116377647	0	0	1	5
chr9:107428292|107454973	0	2	0	0
chr9:74782679|74800482	3	1	2	0
chr9:93107674|93109092	7	0	0	0
chr9:137352620|137352944	0	0	0	5
chr9:5944871|5988545	0	6	0	0
chr9:34556255|34564832	0	0	3	0
chr9:132826854|132854925	0	0	7	0
