circRNA_ID	gene_id
chr9:465962|467219	ENSG00000227155.7
chr9:846960|894195	ENSG00000137090.12
chr9:2161686|2181676	ENSG00000080503.24
chr9:2643837|2645745	ENSG00000147852.17
chr9:2644734|2646552	ENSG00000147852.17
chr9:2943565|3013028	ENSG00000227835.8
chr9:3012924|3014177	ENSG00000227835.8
chr9:3270371|3288250	ENSG00000080298.16
chr9:3271003|3293258	ENSG00000080298.16
chr9:3546778|3568889	ENSG00000232104.4
chr9:3671474|3674648	ENSG00000232104.4
chr9:4622408|4627856	ENSG00000106686.17
chr9:4719135|4722625	ENSG00000147853.17
chr9:4836726|4841357	ENSG00000120158.12
chr9:5431897|5436694	ENSG00000107020.10
chr9:5742869|5756372	ENSG00000107036.12
chr9:5805611|5812217	ENSG00000099219.15
chr9:5810011|5813035	ENSG00000099219.15
chr9:5944871|5988545	ENSG00000183354.12
chr9:6497049|6497268	ENSG00000147854.17
chr9:7930282|7960662	ENSG00000231902.2
chr9:8936079|8958848	ENSG00000234021.1
chr9:11640733|11784659	ENSG00000285784.1
chr9:13004933|13029577	ENSG00000285637.2
chr9:13150511|13176417	ENSG00000107186.17
chr9:14662215|14680162	ENSG00000175893.12
chr9:14997164|15007882	ENSG00000215237.6
chr9:15187971|15203890	ENSG00000155158.20
chr9:15423909|15433636	ENSG00000164975.16
chr9:15433552|15451402	ENSG00000164975.16
chr9:15444602|15453205	ENSG00000164975.16
chr9:15778968|15784694	ENSG00000164989.17
chr9:15846702|15848947	ENSG00000164989.17
chr9:16215772|16400547	ENSG00000205549.10
chr9:16431403|16435099	ENSG00000173068.18
chr9:16552530|16727997	ENSG00000173068.18
chr9:17761437|17789550	ENSG00000107295.10
chr9:18635943|18662073	ENSG00000178031.18
chr9:19063008|19063580	ENSG00000147874.11
chr9:19334977|19341114	ENSG00000137145.21
chr9:19423862|19424841	ENSG00000177076.6
chr9:19573351|19622299	ENSG00000155886.12
chr9:19573351|19619692	ENSG00000155886.12
chr9:20363476|20448266	ENSG00000171843.17
chr9:22213677|22214672	ENSG00000236921.1
chr9:22674443|22682713	ENSG00000234840.2
chr9:23540579|23602784	ENSG00000283982.1
chr9:23540579|23554617	ENSG00000283982.1
chr9:23701379|23705071	ENSG00000107105.15
chr9:23829670|23831598	ENSG00000231460.2
chr9:23831438|23831598	ENSG00000231460.2
chr9:24544972|24545286	ENSG00000205442.13
chr9:26092361|26110139	ENSG00000276759.2
chr9:26747510|26748312	ENSG00000254261.1
chr9:26920227|26926560	ENSG00000137055.15
chr9:26997728|26999703	ENSG00000184434.8
chr9:27185485|27203119	ENSG00000120156.22
