circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:2161686|2181676	chr9	2161686	2181676	5	4_2_0	0	1.00	exon	ENSG00000080503.24	+	simulate:513848,simulate:513847,simulate:513846,simulate:513845,simulate:513843	1
chr9:2644734|2646552	chr9	2644734	2646552	3	3_2_0	13	0.32	exon	ENSG00000147852.17	+	simulate:485799,simulate:485795,simulate:485790	2
chr9:7930282|7960662	chr9	7930282	7960662	2	2_2_0	0	1.00	exon	ENSG00000231902.2	-	simulate:501261,simulate:501259	2
chr9:11640733|11784659	chr9	11640733	11784659	3	3_2_0	2	0.75	exon	ENSG00000285784.1	+	simulate:490556,simulate:490551,simulate:490552	2
chr9:13004933|13029577	chr9	13004933	13029577	10	7_8_0	2	0.91	exon	ENSG00000285637.2	-	simulate:478320,simulate:478323,simulate:478312,simulate:478311,simulate:478314,simulate:478313,simulate:478327,simulate:478315,simulate:478328,simulate:478317	7
chr9:14662215|14680162	chr9	14662215	14680162	8	7_6_0	3	0.84	exon	ENSG00000175893.12	-	simulate:483811,simulate:483810,simulate:483821,simulate:483809,simulate:483805,simulate:483818,simulate:483804,simulate:483803	5
chr9:15433552|15451402	chr9	15433552	15451402	9	6_5_1	8	0.69	exon	ENSG00000164975.16	+	simulate:502721,simulate:502723,simulate:502722,simulate:502725,simulate:502724,simulate:502716,simulate:502715,simulate:502718,simulate:502717	4
chr9:15846702|15848947	chr9	15846702	15848947	3	3_2_1	8	0.43	exon	ENSG00000164989.17	+	simulate:513108,simulate:513107,simulate:513105	2
chr9:19063008|19063580	chr9	19063008	19063580	3	3_1_0	0	1.00	exon	ENSG00000147874.11	-	simulate:474625,simulate:474624,simulate:474622	0
chr9:19334977|19341114	chr9	19334977	19341114	7	5_5_0	1	0.93	exon	ENSG00000137145.21	+	simulate:500354,simulate:500365,simulate:500355,simulate:500366,simulate:500367,simulate:500356,simulate:500357	3
chr9:19573351|19622299	chr9	19573351	19622299	5	4_1_4	3	0.77	exon	ENSG00000155886.12	-	simulate:493399,simulate:493396,simulate:493403,simulate:493402,simulate:493401	3
chr9:22674443|22682713	chr9	22674443	22682713	8	5_8_0	3	0.84	exon	ENSG00000234840.2	+	simulate:483028,simulate:483039,simulate:483038,simulate:483036,simulate:483042,simulate:483031,simulate:483030,simulate:483032	5
chr9:23831438|23831598	chr9	23831438	23831598	2	2_2_0	0	1.00	exon	ENSG00000231460.2	+	simulate:496770,simulate:496771	1
chr9:26092361|26110139	chr9	26092361	26110139	9	6_5_0	13	0.58	exon	ENSG00000276759.2	+	simulate:513508,simulate:513518,simulate:513516,simulate:513514,simulate:513503,simulate:513513,simulate:513502,simulate:513512,simulate:513501	1
chr9:32481340|32488887	chr9	32481340	32488887	3	3_2_0	6	0.50	exon	ENSG00000288684.1	-	simulate:495699,simulate:495695,simulate:495694	2
chr9:33034216|33036257	chr9	33034216	33036257	4	3_4_0	11	0.42	exon	ENSG00000086061.16	+	simulate:490446,simulate:490449,simulate:490450,simulate:490453	3
chr9:33218365|33221108	chr9	33218365	33221108	3	2_2_0	0	1.00	exon	ENSG00000122711.9	+	simulate:509204,simulate:509198,simulate:509199	1
chr9:33886881|33900271	chr9	33886881	33900271	5	4_4_0	1	0.91	exon	ENSG00000107341.5	+	simulate:485668,simulate:485665,simulate:485666,simulate:485663,simulate:485664	2
chr9:33943420|33960878	chr9	33943420	33960878	6	6_2_3	15	0.44	exon	ENSG00000137073.24	-	simulate:491745,simulate:491735,simulate:491733,simulate:491739,simulate:491742,simulate:491751	4
chr9:34179038|34242108	chr9	34179038	34242108	3	3_1_0	0	1.00	exon	ENSG00000165006.14	+	simulate:509529,simulate:509537,simulate:509538	1
chr9:34380897|34381444	chr9	34380897	34381444	5	5_3_0	9	0.53	exon	ENSG00000164972.14	-	simulate:474518,simulate:474525,simulate:474523,simulate:474521,simulate:474520	3
chr9:34402705|34405964	chr9	34402705	34405964	3	3_1_2	6	0.50	exon	ENSG00000164970.15	-	simulate:501956,simulate:501957,simulate:501958	2
chr9:34623425|34628086	chr9	34623425	34628086	8	5_7_0	22	0.42	exon	ENSG00000205143.5	-	simulate:505471,simulate:505483,simulate:505480,simulate:505465,simulate:505495,simulate:505499,simulate:505500,simulate:505504	4
chr9:34648998|34656908	chr9	34648998	34656908	6	5_4_0	4	0.75	exon	ENSG00000258728.2	+	simulate:513604,simulate:513614,simulate:513601,simulate:513578,simulate:513599,simulate:513574	3
chr9:34656739|34657587	chr9	34656739	34657587	6	3_4_0	4	0.75	exon	ENSG00000137070.19	+	simulate:513629,simulate:513628,simulate:513647,simulate:513634,simulate:513645,simulate:513643	0
chr9:35562875|35563356	chr9	35562875	35563356	3	2_2_0	0	1.00	exon	ENSG00000215187.13	-	simulate:510795,simulate:510792,simulate:510791	1
chr9:35658576|35660461	chr9	35658576	35660461	2	2_1_0	5	0.44	exon	ENSG00000159884.12	+	simulate:475590,simulate:475592	1
chr9:35724830|35725321	chr9	35724830	35725321	2	2_2_0	0	1.00	exon	ENSG00000137076.21	-	simulate:507271,simulate:507269	2
chr9:35810247|35811057	chr9	35810247	35811057	4	3_3_1	2	0.80	exon	ENSG00000137098.14	-	simulate:511163,simulate:511161,simulate:511159,simulate:511158	3
chr9:36058827|36065624	chr9	36058827	36065624	4	2_1_2	6	0.57	exon	ENSG00000122707.12	+	simulate:486789,simulate:486788,simulate:486792,simulate:486791	1
chr9:36147786|36148650	chr9	36147786	36148650	2	2_1_0	5	0.44	exon	ENSG00000122694.16	+	simulate:502230,simulate:502226	1
chr9:36227248|36236984	chr9	36227248	36236984	4	4_3_0	0	1.00	exon	ENSG00000159921.20	-	simulate:483287,simulate:483298,simulate:483289,simulate:483292	3
chr9:37521569|37529260	chr9	37521569	37529260	6	5_5_0	19	0.39	exon	ENSG00000256966.6	-	simulate:490269,simulate:490275,simulate:490284,simulate:490273,simulate:490282,simulate:490271	4
chr9:37522825|37532058	chr9	37522825	37532058	7	5_5_0	16	0.47	exon	ENSG00000256966.6	-	simulate:489640,simulate:489651,simulate:489641,simulate:489644,simulate:489646,simulate:489648,simulate:489649	3
chr9:38456118|38462233	chr9	38456118	38462233	5	3_5_1	0	1.00	exon	ENSG00000283162.2	+	simulate:476042,simulate:476043,simulate:476035,simulate:476036,simulate:476037	4
