circRNA_ID	Case1	Case2	Control1	Control2
chr5:171214|173067	8	0	1	0
chr1:18854213|18857631	0	4	0	0
chr8:70066235|70068532	9	0	0	0
chr3:14704337|14721784	0	0	0	11
chr1:89479937|89481863	2	10	0	0
chr16:29679182|29694755	0	5	0	0
chr9:92049960|92077035	0	0	0	9
chr2:86251957|86254814	0	0	4	8
chr5:116087497|116092700	0	5	0	0
chr19:7731026|7732122	2	0	4	0
chr22:26536288|26541718	6	0	0	0
chr2:112977886|112978693	0	0	7	0
chr1:229872613|229885818	0	0	0	4
chr2:53765377|53820244	0	0	0	8
chr5:177513011|177515258	6	0	0	0
chr3:147395852|147402812	4	0	0	0
chrX:71106000|71106426	0	2	0	0
chr10:95038897|95067357	0	0	0	3
chr1:96751425|96785254	6	0	0	0
chr13:114236645|114236896	0	0	2	0
chr17:18234839|18237773	0	2	2	0
chr11:74876631|74910804	0	0	3	0
chr19:7730351|7731319	0	5	0	0
chr16:20780714|20785107	10	0	0	0
chr3:68998011|69005234	0	0	0	4
chr5:42817067|42910843	0	0	0	2
chr4:37077132|37078632	9	0	0	0
chr1:161420223|161428019	0	6	0	0
chr1:156592101|156592475	0	0	0	4
chr12:3644595|3673592	7	0	0	0
chr2:158338726|158340680	0	12	0	0
chr11:120831852|120874218	2	0	0	0
chr12:4596149|4599788	7	0	7	0
chr16:71756019|71764448	0	0	0	4
chr12:14949802|14950724	0	8	0	0
chr22:19760905|19765113	0	0	9	0
chr3:42527396|42531531	0	2	0	0
chr20:50818211|50830380	3	0	0	2
chr19:49679872|49682259	0	0	0	5
chr22:41583959|41584603	0	0	0	12
chr1:170157969|170160693	0	0	7	0
chr19:48663197|48667463	0	0	2	0
chr1:32156853|32159531	0	0	0	2
chr11:821628|823587	0	7	0	0
chr7:50616210|50669863	0	0	8	0
chr19:14518139|14527810	0	0	0	4
chr5:140591670|140592101	0	5	0	0
chr11:70170887|70180056	0	0	0	3
chr16:81356785|81363943	0	0	6	0
chr7:117745831|117767176	0	5	0	13
chr1:24589464|24595517	5	0	0	0
chr14:90902808|90920309	0	7	0	0
chr9:18635943|18662073	0	0	3	0
chr3:190128929|190143501	3	7	0	0
chr5:14678681|14681607	0	0	0	4
chr16:29312350|29321095	4	3	5	0
chr9:127945649|127950539	0	0	0	5
chr7:4916005|4925532	7	0	0	0
chr18:31082238|31086742	10	0	0	0
chr11:57500988|57514124	0	2	0	0
chr2:238104656|238125384	0	0	5	0
chr17:66877230|66879058	0	0	0	4
chr16:31120339|31128139	5	0	0	0
chr4:6375819|6381094	8	0	0	0
chr10:59206754|59234500	0	0	0	2
chr3:159245843|159252799	0	0	5	0
chr1:51112464|51118801	3	0	0	0
chrX:68518770|68521497	0	0	0	3
chr17:39061097|39063546	1	0	0	5
chr4:184428674|184429070	6	0	0	4
chr4:69754670|69760250	0	0	0	6
chr19:18220874|18221178	0	4	0	0
chr12:94282298|94297423	0	0	9	0
chr1:93529652|93534908	0	6	0	0
chr22:21049314|21053997	0	0	0	8
chr8:118930488|118933300	0	0	13	0
chr6:3634019|3663905	0	0	0	2
chr10:101672915|101673673	0	0	6	0
chr19:8316496|8320906	0	5	0	0
chr4:25145004|25156195	0	0	4	0
chrX:23783800|23785429	0	0	0	3
chr1:150274087|150275799	2	0	0	3
chr6:15452006|15507254	0	0	0	7
chr7:72928385|72939409	0	0	7	0
chr4:106236390|106236808	0	0	0	7
chr1:200990138|200996395	0	0	5	0
chr9:92321668|92323503	0	0	5	0
chr14:49728926|49732816	0	0	4	0
chr8:28452244|28456930	0	0	2	0
chrX:48987785|48990732	0	0	13	0
chr18:63901740|63902568	0	7	0	0
chr9:37719069|37731103	0	0	6	0
chr1:84565841|84570139	8	0	0	0
chr6:24780663|24784169	0	3	0	0
chr11:33670915|33696701	0	6	7	0
chr9:129830871|129834766	0	0	4	3
chr9:27560227|27565590	0	2	0	0
chr16:67930408|67930807	6	0	0	0
chr4:158155611|158171599	0	5	0	0
chr2:175995558|176002279	0	0	0	6
chr17:75668049|75668625	0	0	0	8
chr1:237882466|237906110	0	4	0	7
chr2:10127087|10128952	0	0	0	3
chr1:111122616|111131568	0	0	6	0
chr7:141839338|141841068	0	2	0	0
chr7:7641504|7673453	7	0	0	0
chr1:183884723|183897897	3	0	1	0
chr6:26383792|26388294	0	0	2	0
chr22:30494150|30495642	0	0	4	4
chr1:149926376|149927294	0	0	6	5
chr9:129085023|129085306	0	0	4	0
chr7:128806237|128809644	0	0	0	2
chr7:35248677|35250203	0	0	0	6
chr3:112928816|112947924	0	2	0	0
chr16:89222092|89224802	0	4	0	0
chr16:67948061|67951060	0	3	0	0
chr20:49072568|49084162	0	3	0	0
chr6:151138749|151151138	0	5	0	0
chr11:57704719|57705229	0	2	0	0
chrX:108150068|108151858	4	0	0	0
chr2:29024139|29033563	0	5	0	0
chr7:77404559|77406105	4	0	0	0
chr15:52577842|52584942	0	0	10	0
chr19:47093970|47094608	0	3	5	0
