circRNA_ID	Case1	Control1
chr9:33886881|33900271	5	6
chr9:83311887|83343287	4	0
chr9:33318731|33338589	0	6
chr9:112959793|112960962	6	0
chr9:120911336|120914300	8	0
chr9:112959793|112961814	0	6
chr9:26092361|26110139	9	0
chr9:112804776|112838697	0	7
chr9:132826854|132854925	0	7
chr9:36227248|36236984	4	0
chr9:135605215|135615498	0	5
chr9:132661208|132670401	0	5
chr9:69046385|69065035	0	6
chr9:136367637|136370701	0	10
chr9:88426382|88448989	0	8
chr9:34623864|34628086	0	2
chr9:94199198|94223308	0	3
chr9:81616646|81620557	4	0
chr9:2161686|2181676	5	0
chr9:123365917|123367686	6	0
chr9:83887041|83888592	0	5
chr9:94606815|94617860	0	11
chr9:32420856|32427436	0	5
chr9:36058827|36065624	4	0
chr9:98060782|98077017	3	0
chr9:136979223|136980855	0	7
chr9:69375736|69383759	0	5
chr9:113282646|113286828	0	6
chr9:135945889|135953753	0	10
chr9:23831438|23831598	2	0
chr9:136889670|136890542	5	0
chr9:113283132|113284389	5	0
chr9:137351318|137352786	3	0
chr9:124538092|124554570	0	9
chr9:113354240|113360737	0	7
chr9:137540642|137543815	0	6
chr9:35810247|35811057	4	0
chr9:128789874|128791693	0	6
chr9:37719069|37731103	0	6
chr9:97323781|97347666	0	5
chr9:94085251|94095454	2	0
chr9:32481340|32488887	3	0
chr9:79138523|79143231	0	7
chr9:135500570|135501123	0	8
chr9:126381064|126386658	0	2
chr9:15433552|15451402	9	0
chr9:75016268|75017448	4	0
chr9:122378433|122381747	8	0
chr9:74782679|74800482	3	2
chr9:133544470|133555930	0	7
chr9:5431897|5436694	0	2
chr9:136831721|136835845	10	0
chr9:94498056|94502641	0	4
chr9:130466725|130476961	0	7
chr9:88640511|88647660	0	5
chr9:34381369|34385781	0	8
chr9:846960|894195	0	5
chr9:38456118|38462233	5	0
chr9:27185485|27203119	0	6
chr9:35562875|35563389	0	2
chr9:124301936|124321569	0	8
chr9:101399028|101399530	0	5
chr9:43111266|43119686	7	0
chr9:137430784|137433864	0	7
chr9:83628007|83628959	0	2
chr9:136806385|136807202	0	2
chr9:128323016|128332282	5	0
chr9:35724830|35725321	2	0
chr9:129338792|129342043	7	0
chr9:119248960|119313405	0	11
chr9:133702916|133731484	0	8
chr9:33943420|33944639	0	6
chr9:136016265|136050580	4	0
chr9:75069742|75077580	7	0
chr9:100018256|100052532	5	0
chr9:128828735|128829155	3	0
chr9:123128214|123132968	5	0
chr9:15423909|15433636	0	4
chr9:97516213|97516818	4	9
chr9:136447569|136451408	0	3
chr9:92188518|92189635	4	10
chr9:136945634|136946566	5	0
chr9:135561758|135565514	0	6
chr9:7930282|7960662	2	0
chr9:5805611|5812217	0	12
chr9:92470669|92474927	9	4
chr9:104132009|104134575	0	7
chr9:131126412|131127719	0	6
chr9:104111581|104118375	9	0
chr9:127318063|127333121	0	8
chr9:26920227|26926560	0	6
chr9:126965844|126977745	0	4
chr9:110329232|110334320	0	6
chr9:132390597|132398326	0	6
chr9:72927116|72931019	4	0
chr9:135768610|135772949	10	0
chr9:69218257|69228114	4	0
chr9:34487946|34490124	0	2
chr9:92135461|92136537	10	0
chr9:137232575|137233404	0	4
chr9:124855861|124856600	5	0
chr9:103001578|103003263	5	0
chr9:135697506|135699126	7	0
chr9:124855634|124856600	0	7
chr9:115126950|115127910	4	0
chr9:131135940|131147584	9	0
chr9:113256114|113257185	0	4
chr9:83299112|83311975	0	3
chr9:78246669|78253277	5	0
chr9:17761437|17789550	0	5
chr9:134880812|134885897	5	0
chr9:104884427|104889195	0	3
chr9:69371499|69383759	9	0
chr9:131619051|131621998	0	2
chr9:87727594|87728396	6	0
chr9:34179038|34242108	3	0
chr9:72305436|72315090	3	0
chr9:110496815|110513105	7	0
chr9:135631431|135639193	6	4
chr9:22213677|22214672	0	4
chr9:136849111|136850137	0	6
chr9:107302035|107318879	0	5
chr9:113421103|113424316	0	3
chr9:137436869|137438305	0	4
chr9:22674443|22682713	8	0
chr9:125003114|125003690	0	6
chr9:94567270|94587469	0	10
chr9:92323236|92323503	5	0
chr9:18635943|18662073	0	3
chr9:116265857|116335074	5	0
chr9:129639402|129640722	2	0
chr9:109050570|109064567	0	6
chr9:33943420|33960878	6	0
chr9:92321668|92323503	0	5
chr9:96844890|96852005	0	7
chr9:112972080|112982947	3	0
chr9:136742787|136745280	7	0
chr9:2943565|3013028	0	2
chr9:122270864|122285287	0	6
chr9:120776093|120793257	7	0
chr9:120824494|120831945	0	2
chr9:100326302|100330169	0	6
chr9:84707844|84724356	6	0
chr9:11640733|11784659	3	2
chr9:120991191|121008498	0	10
chr9:137040671|137041187	2	0
chr9:35606237|35607672	0	2
chr9:124786975|124799491	2	0
chr9:37762577|37770019	0	9
chr9:89672757|89673487	0	2
chr9:99128855|99144888	7	0
chr9:135694387|135695263	0	8
chr9:34096716|34098517	0	7
chr9:138043774|138058250	0	7
chr9:88072732|88073036	4	0
chr9:136418017|136418673	3	0
chr9:96465337|96465778	0	3
chr9:90864589|90874849	0	4
chr9:128933782|128934058	0	4
chr9:35750658|35751754	0	8
chr9:112275844|112297916	3	0
chr9:124312509|124313985	2	0
chr9:14662215|14680162	8	0
chr9:99825659|99833454	3	0
chr9:128949189|128952846	2	2
chr9:15187971|15203890	0	11
chr9:90864589|90874291	6	0
chr9:105705597|105721721	0	7
chr9:136806078|136806867	11	0
chr9:114406355|114425024	6	0
chr9:136744640|136745280	0	7
chr9:131436620|131439061	6	0
chr9:37522825|37532058	7	10
chr9:35611804|35618121	0	6
chr9:128832291|128835667	0	3
chr9:34656739|34657587	6	0
