circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:465962|467219	chr9	465962	467219	7	4_5_0	0	1.00	exon	ENSG00000227155.7	-	simulate:486677,simulate:486689,simulate:486686,simulate:486684,simulate:486673,simulate:486674,simulate:486670	2
chr9:846960|894195	chr9	846960	894195	4	3_3_0	0	1.00	exon	ENSG00000137090.12	+	simulate:484178,simulate:484188,simulate:484186,simulate:484184	2
chr9:3270371|3288250	chr9	3270371	3288250	13	11_8_0	2	0.93	exon	ENSG00000080298.16	-	simulate:489471,simulate:489461,simulate:489484,simulate:489463,simulate:489474,simulate:489485,simulate:489486,simulate:489487,simulate:489476,simulate:489488,simulate:489478,simulate:489467,simulate:489489	6
chr9:3546778|3568889	chr9	3546778	3568889	3	3_2_0	5	0.55	exon	ENSG00000232104.4	+	simulate:509207,simulate:509208,simulate:509209	2
chr9:4719135|4722625	chr9	4719135	4722625	4	4_3_0	1	0.89	exon	ENSG00000147853.17	-	simulate:503601,simulate:503600,simulate:503603,simulate:503605	2
chr9:4836726|4841357	chr9	4836726	4841357	3	1_3_1	0	1.00	exon	ENSG00000120158.12	+	simulate:515440,simulate:515441,simulate:515442	2
chr9:5742869|5756372	chr9	5742869	5756372	6	4_3_0	6	0.67	exon	ENSG00000107036.12	+	simulate:478750,simulate:478775,simulate:478778,simulate:478749,simulate:478748,simulate:478759	1
chr9:5944871|5988545	chr9	5944871	5988545	6	5_5_1	0	1.00	exon	ENSG00000183354.12	-	simulate:483496,simulate:483542,simulate:483493,simulate:483492,simulate:483538,simulate:483537	4
chr9:6497049|6497268	chr9	6497049	6497268	4	3_3_1	1	0.89	exon	ENSG00000147854.17	+	simulate:471329,simulate:471328,simulate:471332,simulate:471331	3
chr9:14997164|15007882	chr9	14997164	15007882	5	3_4_0	0	1.00	exon	ENSG00000215237.6	+	simulate:481059,simulate:481054,simulate:481052,simulate:481053,simulate:481060	2
chr9:15433552|15451402	chr9	15433552	15451402	2	1_1_1	12	0.25	exon	ENSG00000164975.16	+	simulate:479750,simulate:479749	1
chr9:15778968|15784694	chr9	15778968	15784694	4	3_3_0	0	1.00	exon	ENSG00000164989.17	+	simulate:474058,simulate:474056,simulate:474067,simulate:474062	4
chr9:16215772|16400547	chr9	16215772	16400547	5	5_4_0	10	0.50	exon	ENSG00000205549.10	-	simulate:486289,simulate:486293,simulate:486294,simulate:486292,simulate:486290	3
chr9:16431403|16435099	chr9	16431403	16435099	4	4_3_1	21	0.28	exon	ENSG00000173068.18	-	simulate:476922,simulate:476923,simulate:476924,simulate:476925	4
chr9:19423862|19424841	chr9	19423862	19424841	7	2_6_0	0	1.00	exon	ENSG00000177076.6	+	simulate:471828,simulate:471829,simulate:471827,simulate:471833,simulate:471834,simulate:471831,simulate:471830	0
chr9:19573351|19619692	chr9	19573351	19619692	4	3_3_0	2	0.80	exon	ENSG00000155886.12	-	simulate:472329,simulate:472327,simulate:472325,simulate:472331	2
chr9:23540579|23602784	chr9	23540579	23602784	6	4_4_0	0	1.00	exon	ENSG00000283982.1	-	simulate:507195,simulate:507192,simulate:507177,simulate:507175,simulate:507164,simulate:507163	2
chr9:23829670|23831598	chr9	23829670	23831598	3	3_2_0	0	1.00	exon	ENSG00000231460.2	+	simulate:491372,simulate:491376,simulate:491355	1
chr9:26747510|26748312	chr9	26747510	26748312	5	3_2_0	9	0.53	exon	ENSG00000254261.1	+	simulate:472916,simulate:472913,simulate:472912,simulate:472911,simulate:472910	1
chr9:27560227|27565590	chr9	27560227	27565590	2	1_1_1	18	0.18	exon	ENSG00000147894.17	-	simulate:495971,simulate:495972	1
chr9:32485175|32491420	chr9	32485175	32491420	3	2_2_0	23	0.21	exon	ENSG00000288684.1	-	simulate:475774,simulate:475768,simulate:475769	1
chr9:32487471|32489451	chr9	32487471	32489451	9	7_7_0	23	0.44	exon	ENSG00000288684.1	-	simulate:490608,simulate:490612,simulate:490610,simulate:490605,simulate:490603,simulate:490594,simulate:490597,simulate:490595,simulate:490596	5
chr9:33026813|33034330	chr9	33026813	33034330	7	5_6_0	10	0.58	exon	ENSG00000086061.16	+	simulate:492672,simulate:492682,simulate:492681,simulate:492666,simulate:492687,simulate:492685,simulate:492690	4
chr9:33057598|33068934	chr9	33057598	33068934	3	1_3_0	1	0.86	exon	ENSG00000122692.9	-	simulate:508370,simulate:508373,simulate:508367	0
chr9:34647492|34647961	chr9	34647492	34647961	4	2_2_2	0	1.00	exon	ENSG00000258728.2	+	simulate:505585,simulate:505586,simulate:505584,simulate:505589	2
chr9:34657303|34659900	chr9	34657303	34659900	7	1_4_4	1	0.93	exon	ENSG00000137070.19	+	simulate:472007,simulate:471997,simulate:472008,simulate:472005,simulate:472014,simulate:472015,simulate:472013	1
chr9:34972411|34977641	chr9	34972411	34977641	5	5_3_0	3	0.77	exon	ENSG00000122733.12	+	simulate:512032,simulate:512017,simulate:512027,simulate:512038,simulate:512037	3
chr9:35076724|35078736	chr9	35076724	35078736	6	6_5_0	0	1.00	exon	ENSG00000221829.11	-	simulate:494719,simulate:494758,simulate:494742,simulate:494740,simulate:494785,simulate:494790	5
