circRNA_ID	PValue	FDR
1	chr9:69844517|69856673;ENSG00000204711.9	1	1
2	chr9:136447853|136448161;ENSG00000148396.19	1	1
3	chr9:136447569|136451408;ENSG00000148396.19	1	1
4	chr9:120824494|120831945;ENSG00000095261.14	1	1
5	chr9:127817759|127818389;ENSG00000225032.5	1	1
6	chr9:89672757|89673487;ENSG00000237372.4	1	1
7	chr9:89664928|89673487;ENSG00000237372.4	1	1
8	chr9:89698033|89700357;ENSG00000237372.4	1	1
9	chr9:93261814|93268065;ENSG00000165238.17	1	1
10	chr9:99128855|99144888;ENSG00000106799.13	1	1
11	chr9:35750658|35751754;ENSG00000107185.10	1	1
12	chr9:33943420|33960878;ENSG00000137073.24	1	1
13	chr9:33943420|33944639;ENSG00000137073.24	1	1
14	chr9:109243618|109255680;ENSG00000095203.15	1	1
15	chr9:136889670|136890542;ENSG00000127191.18	1	1
16	chr9:37832063|37956054;ENSG00000255872.3	1	1
17	chr9:92049960|92077035;ENSG00000090054.16	1	1
18	chr9:22674443|22682713;ENSG00000234840.2	1	1
19	chr9:86046470|86052591;ENSG00000135052.16	1	1
20	chr9:2161686|2181676;ENSG00000080503.24	1	1
21	chr9:96458379|96484633;ENSG00000130956.14	1	1
22	chr9:96465337|96465778;ENSG00000130956.14	1	1
23	chr9:127714379|127715194;ENSG00000187024.15	1	1
24	chr9:94928425|94967801;ENSG00000148120.18	1	1
25	chr9:136432479|136434134;ENSG00000148384.14	1	1
26	chr9:35562875|35563356;ENSG00000215187.13	1	1
27	chr9:35562875|35563389;ENSG00000215187.13	1	1
28	chr9:4836726|4841357;ENSG00000120158.12	1	1
29	chr9:128190329|128190862;ENSG00000148337.22	1	1
30	chr9:111748092|111781017;ENSG00000165181.17	1	1
31	chr9:136855254|136857041;ENSG00000177943.14	1	1
32	chr9:94199198|94223308;ENSG00000230262.8	1	1
33	chr9:110496815|110513105;ENSG00000165124.19	1	1
34	chr9:83669185|83680037;ENSG00000135018.14	1	1
35	chr9:69371499|69383759;ENSG00000135063.20	1	1
36	chr9:69375736|69383759;ENSG00000135063.20	1	1
37	chr9:85976685|86007464;ENSG00000135040.16	1	1
38	chr9:85958472|85975033;ENSG00000135040.16	1	1
39	chr9:85958472|85959867;ENSG00000135040.16	1	1
