circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:2643837|2645745	chr9	2643837	2645745	6	3_5_0	5	0.71	exon	ENSG00000147852.17	+	simulate:481014,simulate:481003,simulate:481017,simulate:481006,simulate:481000,simulate:481013	2
chr9:3012924|3014177	chr9	3012924	3014177	4	3_4_0	0	1.00	exon	ENSG00000227835.8	-	simulate:485669,simulate:485666,simulate:485670,simulate:485671	3
chr9:3271003|3293258	chr9	3271003	3293258	6	5_4_0	1	0.92	exon	ENSG00000080298.16	-	simulate:510969,simulate:510965,simulate:510962,simulate:510981,simulate:510971,simulate:510980	3
chr9:4622408|4627856	chr9	4622408	4627856	9	9_2_0	5	0.78	exon	ENSG00000106686.17	-	simulate:490668,simulate:490669,simulate:490670,simulate:490681,simulate:490680,simulate:490685,simulate:490686,simulate:490683,simulate:490672	0
chr9:5431897|5436694	chr9	5431897	5436694	4	3_4_0	0	1.00	exon	ENSG00000107020.10	-	simulate:489833,simulate:489835,simulate:489836,simulate:489837	2
chr9:5810011|5813035	chr9	5810011	5813035	3	3_3_0	0	1.00	exon	ENSG00000099219.15	-	simulate:486439,simulate:486445,simulate:486450	3
chr9:15444602|15453205	chr9	15444602	15453205	6	4_4_1	1	0.92	exon	ENSG00000164975.16	+	simulate:486834,simulate:486831,simulate:486820,simulate:486818,simulate:486827,simulate:486816	3
chr9:16552530|16727997	chr9	16552530	16727997	7	6_6_0	0	1.00	exon	ENSG00000173068.18	-	simulate:502391,simulate:502385,simulate:502395,simulate:502389,simulate:502412,simulate:502406,simulate:502405	5
chr9:19573351|19619692	chr9	19573351	19619692	11	8_7_0	0	1.00	exon	ENSG00000155886.12	-	simulate:488269,simulate:488268,simulate:488267,simulate:488266,simulate:488277,simulate:488265,simulate:488274,simulate:488273,simulate:488272,simulate:488271,simulate:488270	4
chr9:20363476|20448266	chr9	20363476	20448266	11	8_6_0	16	0.58	exon	ENSG00000171843.17	-	simulate:512959,simulate:512966,simulate:512943,simulate:512976,simulate:512965,simulate:512952,simulate:512951,simulate:512962,simulate:512972,simulate:512982,simulate:512970	6
chr9:23540579|23554617	chr9	23540579	23554617	2	2_2_0	12	0.25	exon	ENSG00000283982.1	-	simulate:491467,simulate:491470	2
chr9:23701379|23705071	chr9	23701379	23705071	5	3_4_0	0	1.00	exon	ENSG00000107105.15	-	simulate:500682,simulate:500685,simulate:500675,simulate:500676,simulate:500677	2
chr9:23829670|23831598	chr9	23829670	23831598	4	3_2_0	0	1.00	exon	ENSG00000231460.2	+	simulate:498260,simulate:498271,simulate:498270,simulate:498265	1
chr9:24544972|24545286	chr9	24544972	24545286	4	3_4_0	0	1.00	exon	ENSG00000205442.13	-	simulate:509491,simulate:509493,simulate:509488,simulate:509489	3
chr9:26997728|26999703	chr9	26997728	26999703	5	5_3_0	1	0.91	exon	ENSG00000184434.8	-	simulate:489561,simulate:489552,simulate:489553,simulate:489564,simulate:489556	3
chr9:27558491|27562476	chr9	27558491	27562476	6	3_5_0	9	0.57	exon	ENSG00000147894.17	-	simulate:500918,simulate:500908,simulate:500909,simulate:500911,simulate:500912,simulate:500914	2
chr9:33245112|33246728	chr9	33245112	33246728	3	0_1_3	9	0.40	exon	ENSG00000122711.9	+	simulate:493888,simulate:493891,simulate:493890	1
chr9:33468508|33469341	chr9	33468508	33469341	6	4_5_2	0	1.00	exon	ENSG00000165271.17	-	simulate:511393,simulate:511394,simulate:511403,simulate:511404,simulate:511399,simulate:511400	4
chr9:33798368|33799913	chr9	33798368	33799913	2	1_2_0	0	1.00	exon	ENSG00000235481.3	-	simulate:497089,simulate:497088	1
chr9:34241185|34242108	chr9	34241185	34242108	4	4_2_0	0	1.00	exon	ENSG00000165006.14	+	simulate:520109,simulate:520107,simulate:520111,simulate:520101	2
chr9:34647089|34647705	chr9	34647089	34647705	5	5_2_0	11	0.48	exon	ENSG00000213930.12	+	simulate:508321,simulate:508323,simulate:508322,simulate:508317,simulate:508327	1
chr9:35106252|35106891	chr9	35106252	35106891	3	2_1_1	0	1.00	exon	ENSG00000005238.20	-	simulate:486457,simulate:486454,simulate:486462	1
chr9:35396841|35397712	chr9	35396841	35397712	4	4_4_0	0	1.00	exon	ENSG00000198722.15	+	simulate:504611,simulate:504612,simulate:504613,simulate:504608	4
chr9:35813445|35813784	chr9	35813445	35813784	4	3_3_0	0	1.00	exon	ENSG00000285645.1	-	simulate:503695,simulate:503686,simulate:503689,simulate:503688	2
